company_name,category,market,platform,handle,url,confidence,notes
Netflix Deutschland,streamer,DE,instagram,netflixde,https://www.instagram.com/netflixde/,verified,
Paramount+ DE,streamer,DE,instagram,paramountplusde,https://www.instagram.com/paramountplusde/,verified,
Prime Video DE,streamer,DE,instagram,primevideode,https://www.instagram.com/primevideode/,verified,
WOW / Sky DE,streamer,DE,instagram,wowtvde,https://www.instagram.com/wowtvde/,verified,
Netflix Deutschland,streamer,DE,youtube,NetflixDE,https://www.youtube.com/@NetflixDE,verified,
20th Century Studios,verleih_major,US,instagram,20thcenturystudios,https://www.instagram.com/20thcenturystudios/,verified,
Disney Studios,verleih_major,US,instagram,disneystudios,https://www.instagram.com/disneystudios/,verified,
Lionsgate,verleih_major,US,instagram,lionsgate,https://www.instagram.com/lionsgate/,verified,US Pendant zu Constantin (aehnliche Mid-Major-Rolle)
Paramount Pictures,verleih_major,US,instagram,paramountpics,https://www.instagram.com/paramountpics/,verified,
Sony Pictures,verleih_major,US,instagram,sonypictures,https://www.instagram.com/sonypictures/,verified,
Studiocanal,verleih_major,US,instagram,studiocanal,https://www.instagram.com/studiocanal/,verified,
Universal Pictures,verleih_major,US,instagram,universalpictures,https://www.instagram.com/universalpictures/,verified,Global/US
Warner Bros. Pictures,verleih_major,US,instagram,warnerbros,https://www.instagram.com/warnerbros/,verified,
Disney,verleih_major,US,tiktok,disney,https://www.tiktok.com/@disney,verified,
Paramount,verleih_major,US,tiktok,paramountpics,https://www.tiktok.com/@paramountpics,verified,
Sony Pictures,verleih_major,US,tiktok,sonypictures,https://www.tiktok.com/@sonypictures,verified,
Universal Pictures,verleih_major,US,tiktok,universalpictures,https://www.tiktok.com/@universalpictures,verified,Kein klarer DE-TikTok
Warner Bros.,verleih_major,US,tiktok,warnerbros,https://www.tiktok.com/@warnerbros,verified,
20th Century Studios,verleih_major,US,youtube,20thCenturyStudios,https://www.youtube.com/@20thCenturyStudios,verified,
Disney,verleih_major,US,youtube,WaltDisneyStudios,https://www.youtube.com/@WaltDisneyStudios,verified,
Lionsgate,verleih_major,US,youtube,LionsgateMovies,https://www.youtube.com/@LionsgateMovies,verified,
Paramount Pictures,verleih_major,US,youtube,ParamountPictures,https://www.youtube.com/@ParamountPictures,verified,
Sony Pictures,verleih_major,US,youtube,SonyPicturesEntertainment,https://www.youtube.com/@SonyPicturesEntertainment,verified,
Studiocanal,verleih_major,US,youtube,STUDIOCANAL,https://www.youtube.com/@STUDIOCANAL,verified,
Universal Pictures,verleih_major,US,youtube,UniversalPictures,https://www.youtube.com/@UniversalPictures,verified,
Warner Bros. Pictures,verleih_major,US,youtube,WarnerBrosPictures,https://www.youtube.com/@WarnerBrosPictures,verified,
Disney+,streamer,US,instagram,disneyplus,https://www.instagram.com/disneyplus/,verified,
Max (HBO),streamer,US,instagram,streamonmax,https://www.instagram.com/streamonmax/,verified,Pendant zu WOW DE
Netflix,streamer,US,instagram,netflix,https://www.instagram.com/netflix/,verified,
Paramount+,streamer,US,instagram,paramountplus,https://www.instagram.com/paramountplus/,verified,
Prime Video,streamer,US,instagram,primevideo,https://www.instagram.com/primevideo/,verified,
Netflix,streamer,US,tiktok,netflix,https://www.tiktok.com/@netflix,verified,
Apple TV,streamer,US,youtube,AppleTV,https://www.youtube.com/@AppleTV,verified,
Disney+,streamer,US,youtube,DisneyPlus,https://www.youtube.com/@DisneyPlus,verified,
Max,streamer,US,youtube,Max,https://www.youtube.com/@StreamOnMax,verified,
Netflix,streamer,US,youtube,Netflix,https://www.youtube.com/@Netflix,verified,
Paramount+,streamer,US,youtube,ParamountPlus,https://www.youtube.com/@ParamountPlus,verified,
Prime Video,streamer,US,youtube,PrimeVideo,https://www.youtube.com/@PrimeVideo,verified,
